"STOCK_ID","BUSINESS_DATE","OPENING_PRICE","CLOSING_PRICE"
1,2023-08-12 00:00:00.000,100,105
1,2023-08-13 00:00:00.000,105,110
1,2023-08-14 00:00:00.000,110,115
1,2023-08-15 00:00:00.000,115,112.5
1,2023-08-16 00:00:00.000,112.5,108.75
1,2023-08-17 00:00:00.000,108.75,105.25
1,2023-08-18 00:00:00.000,105.25,102
1,2023-08-19 00:00:00.000,102,99.5
1,2023-08-20 00:00:00.000,99.5,102.25
1,2023-08-21 00:00:00.000,102.25,104.75
2,2023-08-12 00:00:00.000,150,155
2,2023-08-13 00:00:00.000,155,160
2,2023-08-14 00:00:00.000,160,165
2,2023-08-15 00:00:00.000,165,162.5
2,2023-08-16 00:00:00.000,162.5,158.75
2,2023-08-17 00:00:00.000,158.75,155.25
2,2023-08-18 00:00:00.000,155.25,152
2,2023-08-19 00:00:00.000,152,149.5
2,2023-08-20 00:00:00.000,149.5,152.25
2,2023-08-21 00:00:00.000,152.25,154.75
3,2023-08-12 00:00:00.000,200,205
3,2023-08-13 00:00:00.000,205,218.15
3,2023-08-14 00:00:00.000,218.15,226.5
3,2023-08-15 00:00:00.000,226.5,217.88
3,2023-08-16 00:00:00.000,217.88,202.46
3,2023-08-17 00:00:00.000,202.46,191.33
3,2023-08-18 00:00:00.000,191.33,184.82
3,2023-08-19 00:00:00.000,184.82,189.25
3,2023-08-20 00:00:00.000,189.25,195.89
3,2023-08-21 00:00:00.000,195.89,204.15
4,2023-08-12 00:00:00.000,250,256.25
4,2023-08-13 00:00:00.000,256.25,274.44
4,2023-08-14 00:00:00.000,274.44,289.19
4,2023-08-15 00:00:00.000,289.19,278.86
4,2023-08-16 00:00:00.000,278.86,257.92
4,2023-08-17 00:00:00.000,257.92,239.71
4,2023-08-18 00:00:00.000,239.71,233.05
4,2023-08-19 00:00:00.000,233.05,240.37
4,2023-08-20 00:00:00.000,240.37,251.72
4,2023-08-21 00:00:00.000,251.72,264.3
5,2023-08-12 00:00:00.000,300,308.7
5,2023-08-13 00:00:00.000,308.7,331.51
5,2023-08-14 00:00:00.000,331.51,349.85
5,2023-08-15 00:00:00.000,349.85,336.74
5,2023-08-16 00:00:00.000,336.74,310.79
5,2023-08-17 00:00:00.000,310.79,287.91
5,2023-08-18 00:00:00.000,287.91,280.65
5,2023-08-19 00:00:00.000,280.65,289.28
5,2023-08-20 00:00:00.000,289.28,301.41
5,2023-08-21 00:00:00.000,301.41,314.61
6,2023-08-12 00:00:00.000,200,202.5
6,2023-08-13 00:00:00.000,202.5,198.75
6,2023-08-14 00:00:00.000,198.75,206.25
6,2023-08-15 00:00:00.000,206.25,200.5
6,2023-08-16 00:00:00.000,200.5,193.75
6,2023-08-17 00:00:00.000,193.75,204
6,2023-08-18 00:00:00.000,204,199.25
6,2023-08-19 00:00:00.000,199.25,202.75
6,2023-08-20 00:00:00.000,202.75,208
6,2023-08-21 00:00:00.000,208,200.5
7,2023-08-12 00:00:00.000,300,307.5
7,2023-08-13 00:00:00.000,307.5,298.13
7,2023-08-14 00:00:00.000,298.13,313.71
7,2023-08-15 00:00:00.000,313.71,301.38
7,2023-08-16 00:00:00.000,301.38,286.82
7,2023-08-17 00:00:00.000,286.82,304.67
7,2023-08-18 00:00:00.000,304.67,296.02
7,2023-08-19 00:00:00.000,296.02,302.59
7,2023-08-20 00:00:00.000,302.59,311.92
7,2023-08-21 00:00:00.000,311.92,306.82
8,2023-08-12 00:00:00.000,500,510
8,2023-08-13 00:00:00.000,510,480
8,2023-08-14 00:00:00.000,480,530
8,2023-08-15 00:00:00.000,530,470
8,2023-08-16 00:00:00.000,470,540
8,2023-08-17 00:00:00.000,540,460
8,2023-08-18 00:00:00.000,460,550
8,2023-08-19 00:00:00.000,550,440
8,2023-08-20 00:00:00.000,440,560
8,2023-08-21 00:00:00.000,560,430
9,2023-08-12 00:00:00.000,250,255
9,2023-08-13 00:00:00.000,255,245
9,2023-08-14 00:00:00.000,245,260
9,2023-08-15 00:00:00.000,260,240
9,2023-08-16 00:00:00.000,240,270
9,2023-08-17 00:00:00.000,270,230
9,2023-08-18 00:00:00.000,230,280
9,2023-08-19 00:00:00.000,280,220
9,2023-08-20 00:00:00.000,220,290
9,2023-08-21 00:00:00.000,290,210
10,2023-08-12 00:00:00.000,100,105
10,2023-08-13 00:00:00.000,105,110.25
10,2023-08-14 00:00:00.000,110.25,116.58
10,2023-08-15 00:00:00.000,116.58,123.41
10,2023-08-16 00:00:00.000,123.41,129.58
10,2023-08-17 00:00:00.000,129.58,137.06
10,2023-08-18 00:00:00.000,137.06,143.91
10,2023-08-19 00:00:00.000,143.91,150.67
10,2023-08-20 00:00:00.000,150.67,158.2
10,2023-08-21 00:00:00.000,158.2,165.11
11,2023-08-12 00:00:00.000,200,200.5
11,2023-08-13 00:00:00.000,200.5,200.25
11,2023-08-14 00:00:00.000,200.25,199.75
11,2023-08-15 00:00:00.000,199.75,200
11,2023-08-16 00:00:00.000,200,200.5
11,2023-08-17 00:00:00.000,200.5,200.25
11,2023-08-18 00:00:00.000,200.25,199.75
11,2023-08-19 00:00:00.000,199.75,200
11,2023-08-20 00:00:00.000,200,200.5
11,2023-08-21 00:00:00.000,200.5,200.25
12,2023-08-12 00:00:00.000,300,297
12,2023-08-13 00:00:00.000,297,293.85
12,2023-08-14 00:00:00.000,293.85,289.73
12,2023-08-15 00:00:00.000,289.73,285.68
12,2023-08-16 00:00:00.000,285.68,281.7
12,2023-08-17 00:00:00.000,281.7,277.78
12,2023-08-18 00:00:00.000,277.78,273.93
12,2023-08-19 00:00:00.000,273.93,270.15
12,2023-08-20 00:00:00.000,270.15,266.44
12,2023-08-21 00:00:00.000,266.44,262.8
13,2023-08-12 00:00:00.000,320,325
13,2023-08-13 00:00:00.000,325,318.75
13,2023-08-14 00:00:00.000,318.75,335.25
13,2023-08-15 00:00:00.000,335.25,312.5
13,2023-08-16 00:00:00.000,312.5,292.5
13,2023-08-17 00:00:00.000,292.5,310
13,2023-08-18 00:00:00.000,310,302.5
13,2023-08-19 00:00:00.000,302.5,318.75
13,2023-08-20 00:00:00.000,318.75,328.13
13,2023-08-21 00:00:00.000,328.13,322.5
14,2023-08-12 00:00:00.000,280,285
14,2023-08-13 00:00:00.000,285,277.5
14,2023-08-14 00:00:00.000,277.5,293.25
14,2023-08-15 00:00:00.000,293.25,271.65
14,2023-08-16 00:00:00.000,271.65,254.32
14,2023-08-17 00:00:00.000,254.32,268.04
14,2023-08-18 00:00:00.000,268.04,261.81
14,2023-08-19 00:00:00.000,261.81,277.55
14,2023-08-20 00:00:00.000,277.55,287.67
14,2023-08-21 00:00:00.000,287.67,278.22
15,2023-08-12 00:00:00.000,300,310
15,2023-08-13 00:00:00.000,310,315
15,2023-08-14 00:00:00.000,315,318
15,2023-08-15 00:00:00.000,318,322
15,2023-08-16 00:00:00.000,322,327
15,2023-08-17 00:00:00.000,327,350
15,2023-08-18 00:00:00.000,350,360
15,2023-08-19 00:00:00.000,360,375
15,2023-08-20 00:00:00.000,375,385
15,2023-08-21 00:00:00.000,385,390
16,2023-08-12 00:00:00.000,320,315
16,2023-08-13 00:00:00.000,315,312.5
16,2023-08-14 00:00:00.000,312.5,320
16,2023-08-15 00:00:00.000,320,310
16,2023-08-16 00:00:00.000,310,305
16,2023-08-17 00:00:00.000,305,318
